taxa,error_threshold,score_threshold,keep_threshold,retained,usable
Acantharea,0.9,0.997131705284119,0.545,0.45499999999999996,TRUE
Acantharea_like,0.9,0.999894022941589,0.915,0.08499999999999996,FALSE
Acantharea_small,0.9,0.999848961830139,0.8592964824120602,0.14070351758793975,TRUE
Arthracanthida,0.9,0.997512340545654,0.545,0.45499999999999996,TRUE
Aulacanthidae,0.9,0.999976634979248,0.725,0.275,TRUE
Aulancanthidae_flat,0.9,0.999929904937744,0.9040404040404041,0.09595959595959591,FALSE
Aulosphaeridae,0.9,0.999977946281433,0.8012048192771084,0.1987951807228916,TRUE
Collodaria_colonial,0.9,0.995569884777069,0.22905027932960895,0.770949720670391,TRUE
Collodaria_like,0.9,0.87882274389267,0.25125628140703515,0.7487437185929648,TRUE
Collodaria_solitaryblack,0.9,0.893133938312531,0.5378151260504201,0.46218487394957986,TRUE
Collodaria_solitaryglobule,0.9,0.996101975440979,0.2733812949640288,0.7266187050359711,TRUE
Foraminifera,0.9,0.997021615505219,0.832258064516129,0.16774193548387095,TRUE
Spumellaria,0.9,0.995204329490662,0.5357142857142857,0.4642857142857143,TRUE
